SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
70,1.3904262,3161.0117,0.11900254,0.006818193
70,1.390429,2510.8032,0.1197795,0.0065108668
70,1.39043,1995.6388,0.12185289,0.0081920857
70,1.3904271,1585.5074,0.12143988,0.010976736
70,1.3904333,1258.7913,0.12360954,0.013401
70,1.3904318,1000.3202,0.12332344,0.014091731
70,1.3904341,794.23785,0.12539245,0.018381324
70,1.3904326,631.00964,0.13227598,0.017179864
70,1.3904296,501.44418,0.13716872,0.018475695
70,1.3904328,398.08914,0.13249415,0.016739964
70,1.3904417,316.31589,0.13789335,0.019093832
70,1.390433,251.04433,0.14303257,0.021226615
70,1.3904377,199.55299,0.13901366,0.02420103
70,1.3904327,158.42841,0.14641793,0.026079394
70,1.3904383,125.84567,0.14751606,0.029448688
70,1.3904359,100.03201,0.15416318,0.029532675
70,1.3904383,79.415512,0.15536225,0.030047499
70,1.3904401,63.082298,0.16087773,0.033294272
70,1.390439,50.144421,0.16317691,0.037842538
70,1.3904352,39.808914,0.16883723,0.042399809
70,1.3904331,31.629555,0.17338391,0.04404055
70,1.3904413,25.104433,0.17852637,0.050704807
70,1.3904394,19.955299,0.18857253,0.059415337
70,1.3904425,15.857577,0.19229114,0.070664831
70,1.3904464,12.600809,0.20177613,0.072736166
70,1.3904456,10.003201,0.20725243,0.087260485
70,1.3904414,7.9395323,0.22171497,0.097324468
70,1.3904471,6.3105812,0.2332927,0.10837557
70,1.3904468,5.0080128,0.24936092,0.12345017
70,1.3904459,3.9778516,0.26829746,0.13186806
70,1.3904396,3.1629555,0.29210263,0.14776908
70,1.3904442,2.5136747,0.31567356,0.15918462
70,1.3904488,1.99553,0.34304458,0.16830312
70,1.3904589,1.5853286,0.37313649,0.17482571
70,1.3904607,1.2596742,0.40207472,0.17776884
70,1.3904681,1.0000639,0.42969462,0.18022999
70,1.3904744,0.79363066,0.45878604,0.17943528
70,1.3904765,0.63090527,0.48371738,0.18132085
70,1.3904893,0.50154078,0.50815254,0.1802654
70,1.3905034,0.39774463,0.53051668,0.17940041
70,1.3905174,0.3161931,0.55374938,0.17975087
70,1.3905234,0.25122195,0.57523918,0.18264391
70,1.390537,0.19933917,0.59668654,0.18527712
70,1.3905658,0.15860692,0.61685717,0.18833612
70,1.3906021,0.12593903,0.63649005,0.19246973
70,1.3906459,0.10007046,0.65686631,0.19775383
70,1.390568,100003.71,0.11169627,-0.12332037
70,1.39056,79433.273,0.11153924,-0.099017322
70,1.390568,63093.824,0.10878053,-0.077681355
70,1.3905776,50122.477,0.10783959,-0.060989231
70,1.3905863,39814.059,0.10891494,-0.0435596
70,1.3905842,31621.139,0.1082187,-0.035569586
70,1.3905923,25116.91,0.10929877,-0.023164446
70,1.3906038,19948.785,0.10882019,-0.021717086
70,1.3905984,15847.683,0.10792994,-0.015088061
70,1.3906087,12590.93,0.10981118,-0.0092252437
70,1.3906099,10002.226,0.11330913,-0.0040531536
70,1.3906137,7943.999,0.1138911,0.0011811865
70,1.3906094,6307.7339,0.11223508,-3.2124095e-05
70,1.3906097,5011.604,0.11315259,0.0048993016
70,1.3906169,3981.2744,0.11688884,0.0032861084
70,1.3906158,3161.0117,0.11712376,0.0062762401
70,1.3906171,2510.8032,0.11612389,0.0072585852
70,1.3906146,1995.6388,0.12056568,0.0078511871
70,1.3906214,1585.5074,0.12319065,0.0071501145
70,1.3906242,1258.7913,0.12426869,0.010535795
70,1.3906305,1000.3202,0.12462446,0.014271128
70,1.3906254,794.23785,0.12810215,0.012035368
70,1.3906281,631.00964,0.12834306,0.019670956
70,1.3906281,501.44418,0.13063982,0.018142814
70,1.3906245,398.08914,0.13195622,0.018099606
70,1.3906282,316.31589,0.13665299,0.021874156
70,1.3906294,251.04433,0.14007656,0.021430038
70,1.3906356,199.55299,0.14140789,0.021767626
70,1.3906361,158.42841,0.14369479,0.027802115
70,1.3906418,125.84567,0.15028039,0.025406627
70,1.390638,100.03201,0.1485319,0.030054703
70,1.3906385,79.415512,0.15694304,0.032586031
70,1.390642,63.082298,0.15835516,0.037240613
70,1.3906454,50.144421,0.16686013,0.036728252
70,1.3906482,39.808914,0.16520652,0.040620897
70,1.3906527,31.629555,0.17236967,0.044468679
70,1.3906441,25.104433,0.17787313,0.05166468
70,1.3906499,19.955299,0.18338844,0.058287658
70,1.3906538,15.857577,0.19075294,0.064370058
70,1.3906537,12.600809,0.20130174,0.076127723
70,1.3906555,10.003201,0.20527864,0.081744038
70,1.3906517,7.9395323,0.21943577,0.096328966
70,1.3906523,6.3105812,0.23106462,0.10689083
70,1.3906484,5.0080128,0.24793319,0.12208607
70,1.3906572,3.9778516,0.26717931,0.13337889
70,1.390661,3.1629555,0.29136199,0.14815575
70,1.3906678,2.5136747,0.31648606,0.15822704
70,1.3906665,1.99553,0.34492338,0.16960034
70,1.3906682,1.5853286,0.3742477,0.175271
70,1.3906794,1.2596742,0.40264764,0.18000391
70,1.3906823,1.0000639,0.43363431,0.18228595
70,1.3906951,0.79363066,0.45962062,0.18257409
70,1.3907089,0.63090527,0.48617804,0.18084297
70,1.3907129,0.50154078,0.51220417,0.18337737
70,1.3907253,0.39774463,0.53595614,0.1831681
70,1.3907454,0.3161931,0.55708867,0.18219204
70,1.3907688,0.25122195,0.57778782,0.18234724
70,1.3907872,0.19933917,0.59837037,0.18588299
70,1.3908036,0.15860692,0.61863315,0.19049652
70,1.3908246,0.12593903,0.63915992,0.1952609
70,1.3908608,0.10007046,0.65942019,0.20033194
60,1.3589098,100003.71,0.1191256,-0.12657155
60,1.3589212,79433.273,0.11344724,-0.096810631
60,1.3589158,63093.824,0.1138743,-0.073931962
60,1.3589158,50122.477,0.11030991,-0.054229662
60,1.3589251,39814.059,0.11023254,-0.042444572
60,1.3589202,31621.139,0.1106891,-0.033180855
60,1.3589206,25116.91,0.11121017,-0.027427403
60,1.3589303,19948.785,0.11459094,-0.018383192
60,1.3589315,15847.683,0.11478986,-0.013220203
60,1.35893,12590.93,0.11976513,-0.0075065428
60,1.3589339,10002.226,0.11440321,-0.0023526179
60,1.3589307,7943.999,0.11792468,0.0023784102
60,1.3589287,6307.7339,0.12040985,0.0027779147
60,1.35892,5011.604,0.11924165,0.008506733
60,1.3589236,3981.2744,0.12308702,0.0079253763
60,1.3589185,3161.0117,0.12692232,0.010649336
60,1.3589256,2510.8032,0.12627107,0.010641558
60,1.358927,1995.6388,0.13030881,0.011715185
60,1.3589299,1585.5074,0.1304556,0.013200902
60,1.3589237,1258.7913,0.13239947,0.014425622
60,1.3589228,1000.3202,0.13504969,0.016763931
60,1.3589236,794.23785,0.13401654,0.015365175
60,1.3589164,631.00964,0.13595329,0.01671811
60,1.3589309,501.44418,0.14193553,0.016782662
60,1.3589215,398.08914,0.14331208,0.023679785
60,1.3589253,316.31589,0.14837137,0.020526238
60,1.3589264,251.04433,0.15107492,0.024573751
60,1.358932,199.55299,0.15311089,0.025068289
60,1.3589265,158.42841,0.16009422,0.023965055
60,1.3589271,125.84567,0.16329247,0.030388346
60,1.3589314,100.03201,0.16603862,0.033279255
60,1.358932,79.415512,0.16945165,0.03399571
