SOC [%],Time [s],Voltage [V]
90,131873.874268582,1.4650289
90,131874.874268739,1.4652581
90,131875.874268895,1.4651436
90,131876.874269052,1.4651626
90,131877.874269208,1.4652581
90,131878.874269365,1.4651436
90,131879.874269521,1.4650862
90,131880.874269678,1.4651245
90,131881.874269834,1.4650481
90,131882.874269991,1.4652009
90,131883.874270147,1.4652773
90,131884.874270303,1.46522
90,131885.87427046,1.4652009
90,131886.874270616,1.4651436
90,131887.874270773,1.4652009
90,131888.874270929,1.4652009
90,131889.874271086,1.4651245
90,131890.874271242,1.4651626
90,131891.874271399,1.4652581
90,131892.874271555,1.4652009
90,131893.874271712,1.4651053
90,131894.874271868,1.46522
90,131895.874272025,1.4651817
90,131896.874272181,1.4651817
90,131897.874272338,1.4651817
90,131898.874272494,1.465239
90,131899.87427265,1.4651817
90,131900.874272807,1.4651817
90,131901.874272963,1.4651245
90,131902.87427312,1.4652581
90,131903.874273276,1.4651817
90,131904.874273433,1.4652773
90,131905.874273589,1.4652581
90,131906.874273746,1.4652581
90,131907.874273902,1.4652009
90,131908.874274059,1.4651245
90,131909.874274215,1.4651817
90,131910.874274372,1.4652964
90,131911.874274528,1.4652009
90,131912.874274684,1.4652009
90,131913.874274841,1.4652581
90,131914.874274997,1.4650862
90,131915.874275154,1.46522
90,131916.87427531,1.4652773
90,131917.874275467,1.4651626
90,131918.874275623,1.4651053
90,131919.87427578,1.4652009
90,131920.874275936,1.4652964
90,131921.874276093,1.4651626
90,131922.874276249,1.4652773
90,131923.874276406,1.4652009
90,131924.874276562,1.4651626
90,131925.874276719,1.4653345
90,131926.874276875,1.4652009
90,131927.874277031,1.465239
90,131928.874277188,1.4651817
90,131929.874277344,1.4653345
90,131930.874277501,1.4652581
90,131931.874277657,1.4651053
90,131932.874277814,1.4652964
90,131933.87427797,1.4651436
90,131934.874278127,1.4651245
90,131935.874278283,1.46522
90,131936.87427844,1.4652581
90,131937.874278596,1.46522
90,131938.874278753,1.4651626
90,131939.874278909,1.4651436
90,131940.874279065,1.4651817
90,131941.874279222,1.4653155
90,131942.874279378,1.46522
90,131943.874279535,1.4651436
90,131944.874279691,1.4652009
90,131945.874279848,1.4651436
90,131946.874280004,1.4653155
90,131947.874280161,1.4651626
90,131948.874280317,1.4653728
90,131949.874280474,1.4652009
90,131950.87428063,1.4652009
90,131951.874280786,1.4652773
90,131952.874280943,1.4652964
90,131953.874281099,1.4653919
90,131954.874281256,1.4653155
90,131955.874281412,1.4652964
90,131956.874281569,1.4652773
90,131957.874281725,1.46522
90,131958.874281882,1.46522
90,131959.874282038,1.4652773
90,131960.874282195,1.4652009
90,131961.874282351,1.4652773
90,131962.874282508,1.4652773
90,131963.874282664,1.4653345
90,131964.87428282,1.4652964
90,131965.874282977,1.4652581
90,131966.874283133,1.4653537
90,131967.87428329,1.46522
90,131968.874283446,1.4652964
90,131969.874283603,1.465239
90,131970.874283759,1.465239
